1,Electronic rock 
2,Electronic 
3,Hip hop 
4,Blue-eyed soul 
5,Indie folk / Hardcore hip hop
6,Rock 
7,R&B 
8,Alternative R&B
9,Funk 
10,Psychedelic pop 
11,Alternative rock 
12,Indie pop 
13,Electronicore 
14,Post-punk 
15,Punk rock 
16,Indie rock 
17,Psychedelic rock 
18,Pop 
19,Hard rock 
20,Progressive metal 
21,Power metal 
22,Post-metal 
23,Shoegazing 
24,Traditional pop 
25,Vocal jazz 
26,Lo-fi 
27,Reggaeton 
28,Hardcore punk 
29,Progressive rock 
30,Noise rock 
31,Alternative 
32,Americana 
33,Latin pop 
34,EDM 
35,Dance 
36,Country music 
37,Synthpop 
38,Classic rock 
39,Choral 
40,Garage rock 
41,Contemporary Christian music 
42,Post-hardcore 
43,Classical 
44,Symphonic metal 
45,Soul 
46,Big beat 
47,Experimental hip hop 
48,Rap rock 
49,Alternative metal 
50,Indietronica 
51,Pop punk 
52,Pop rock 
53,Acid house 
54,Blues rock 
55,Country 
56,Metalcore 
57,Trap 
58,Britpop 
59,Folk metal 
60,Folk rock 
61,Christian rock 
62,Pop-rap 
63,Heavy metal 
64,Indie 
65,Folk 
66,Death metal 
